# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb  4 07:25:21 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_bmasse:      Planet Mass or M*sin(i) [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
# COLUMN pl_publ_date:   Publication Date
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_eqt,pl_insol,pl_bmasse,pl_rade,pl_disc,pl_pelink,pl_edelink,pl_publ_date,st_sp,st_spstr,st_lum
398,HD 166724,Radial Velocity,1,5144.00000000,5.420000,0.734000,,42.99,9.344,5127.00,0.81,,2014-05-14,HD 166724 b,,,1121.89000,,2012,http://exoplanet.eu/catalog/hd_166724_b/,,2013-03,5.00,K0 IV-V,-0.509
399,HD 167042,Radial Velocity,1,420.77000000,1.320000,0.089000,,50.00,5.940,4943.00,1.50,4.50,2014-05-14,HD 167042 b,,,540.29000,,2007,http://exoplanet.eu/catalog/hd_167042_b/,http://exoplanets.org/detail/HD_167042_b,2008-03,5.10,K1 IV,1.000
400,HD 168443,Radial Velocity,2,58.11247000,0.293100,0.528830,,37.88,6.917,5491.00,0.99,1.51,2014-06-25,HD 168443 b,,,2434.15700,,1998,http://exoplanet.eu/catalog/hd_168443_b/,http://exoplanets.org/detail/HD_168443_b,1999-07,4.50,G5,
401,HD 168443,Radial Velocity,2,1749.83000000,2.837300,0.211300,,37.88,6.917,5491.00,0.99,1.51,2015-02-05,HD 168443 c,,,5464.22100,,2000,http://exoplanet.eu/catalog/hd_168443_c/,http://exoplanets.org/detail/HD_168443_c,2001-07,4.50,G5,
402,HD 168746,Radial Velocity,1,6.40400000,0.065900,0.107000,,43.12,7.946,5564.00,0.93,,2014-06-25,HD 168746 b,,,78.81900,,2002,http://exoplanet.eu/catalog/hd_168746_b/,http://exoplanets.org/detail/HD_168746_b,2002-06,4.50,G5,
403,HD 1690,Radial Velocity,1,533.00000000,1.300000,0.640000,,7.01,9.170,4393.00,1.09,16.70,2014-05-14,HD 1690 b,,,1938.68000,,2010,http://exoplanet.eu/catalog/hd_1690_b/,http://exoplanets.org/detail/HD_1690_b,2011-03,5.10,K1 III,1.520
404,HD 169830,Radial Velocity,2,225.62000000,0.810000,0.310000,,36.32,5.902,6299.00,1.40,,2014-06-25,HD 169830 b,,,915.31000,,2000,http://exoplanet.eu/catalog/hd_169830_b/,http://exoplanets.org/detail/HD_169830_b,2001-08,3.80,F8 V,0.662
405,HD 169830,Radial Velocity,2,2102.00000000,3.600000,0.330000,,36.32,5.902,6299.00,1.40,,2014-06-25,HD 169830 c,,,1283.98000,,2003,http://exoplanet.eu/catalog/hd_169830_c/,http://exoplanets.org/detail/HD_169830_c,2004-02,3.80,F8 V,0.662
406,HD 170469,Radial Velocity,1,1145.00000000,2.100000,0.110000,,64.98,8.210,5810.00,1.14,1.22,2014-07-02,HD 170469 b,,,212.94000,,2007,http://exoplanet.eu/catalog/hd_170469_b/,http://exoplanets.org/detail/HD_170469_b,2007-11,4.50,G5 IV,0.204
407,HD 17092,Radial Velocity,1,359.90000000,,0.166000,,,,4650.00,2.30,,2014-07-02,HD 17092 b,,,1462.00000,,2007,http://exoplanet.eu/catalog/hd_17092_b/,http://exoplanets.org/detail/HD_17092_b,2007-11,5.00,K0 III,
408,HD 171028,Radial Velocity,1,550.00000000,1.320000,0.590000,,90.00,8.310,5663.00,0.99,1.95,2014-07-02,HD 171028 b,,,629.28000,,2007,http://exoplanet.eu/catalog/hd_171028_b/,http://exoplanets.org/detail/HD_171028_b,2007-11,4.00,G0,
409,HD 171238,Radial Velocity,1,1523.00000000,2.540000,0.400000,,44.05,8.660,5467.00,0.94,,2014-07-02,HD 171238 b,,,826.32000,,2009,http://exoplanet.eu/catalog/hd_171238_b/,http://exoplanets.org/detail/HD_171238_b,2010-02,5.00,K0 V,
410,HD 17156,Radial Velocity,1,21.21663000,0.161400,0.681900,3.78000,75.00,8.172,6100.00,1.24,1.44,2014-10-29,HD 17156 b,,,1023.37000,11.430,2007,http://exoplanet.eu/catalog/hd_17156_b/,http://exoplanets.org/detail/HD_17156_b,2007-11,4.00,G0 V,0.412
411,HD 173416,Radial Velocity,1,323.60000000,1.160000,0.210000,,134.95,6.057,4683.00,2.00,13.50,2014-07-09,HD 173416 b,,,858.10000,,2008,http://exoplanet.eu/catalog/hd_173416_b/,http://exoplanets.org/detail/HD_173416_b,2009-01,4.80,G8,1.892
412,HD 175167,Radial Velocity,1,1290.00000000,2.400000,0.540000,,67.02,8.010,,1.10,,2014-05-14,HD 175167 b,,,2478.97000,,2009,http://exoplanet.eu/catalog/hd_175167_b/,http://exoplanets.org/detail/HD_175167_b,2010-03,4.50,G5 IV/V,
413,HD 175541,Radial Velocity,1,297.30000000,1.030000,0.330000,,127.55,8.030,5060.00,1.65,3.80,2014-07-09,HD 175541 b,,,193.87000,,2007,http://exoplanet.eu/catalog/hd_175541_b/,http://exoplanets.org/detail/HD_175541_b,2007-08,4.80,G8 IV,0.934
414,HD 175607,Radial Velocity,1,29.01000000,,0.110000,,45.27,8.610,5392.00,0.71,0.70,2015-11-19,HD 175607 b,,,8.98000,,2015,http://exoplanet.eu/catalog/hd_175607_b/,,,4.60,G6 V,
415,HD 177830,Radial Velocity,2,406.60000000,1.221800,0.009000,,59.03,7.177,4949.00,1.47,2.62,2014-05-14,HD 177830 b,,,473.54700,,1999,http://exoplanet.eu/catalog/hd_177830_b/,http://exoplanets.org/detail/HD_177830_b,2000-06,5.00,K0,0.685
416,HD 177830,Radial Velocity,2,110.90000000,0.513700,0.300000,,59.03,7.177,4949.00,1.47,2.62,2014-05-14,HD 177830 c,,,47.67250,,2010,http://exoplanet.eu/catalog/hd_177830_c/,,2011-02,5.00,K0,0.685
417,HD 178911 B,Radial Velocity,1,71.48400000,0.339000,0.114000,,47.00,7.792,5668.00,1.01,,2014-05-14,HD 178911 B b,,,2234.25000,,2001,http://exoplanet.eu/catalog/hd_178911_b_b/,http://exoplanets.org/detail/HD_178911_B_b,2002-03,4.50,G5,
418,HD 179079,Radial Velocity,1,14.47600000,0.121600,0.115000,,63.69,7.950,5684.00,1.15,1.60,2014-07-09,HD 179079 b,,,27.50000,,2008,http://exoplanet.eu/catalog/hd_179079_b/,http://exoplanets.org/detail/HD_179079_b,2009-09,4.50,G5 IV,0.382
419,HD 179949,Radial Velocity,1,3.09251400,0.044300,0.022000,,27.05,6.250,6168.00,1.21,,2014-07-09,HD 179949 b,,,291.12000,,2000,http://exoplanet.eu/catalog/hd_179949_b/,http://exoplanets.org/detail/HD_179949_b,2001-04,3.80,F8 V,
420,HD 180314,Radial Velocity,1,396.03000000,1.400000,0.257000,,131.75,6.608,4917.00,2.60,9.20,2015-09-10,HD 180314 b,,,6992.26000,,2010,http://exoplanet.eu/catalog/hd_180314_b/,http://exoplanets.org/detail/HD_180314_b,2010-08,5.00,K0,1.643
421,HD 180902,Radial Velocity,1,479.00000000,1.390000,0.090000,,114.55,7.778,5030.00,1.52,4.10,2014-05-14,HD 180902 b,,,508.50700,,2009,http://exoplanet.eu/catalog/hd_180902_b/,http://exoplanets.org/detail/HD_180902_b,2010-05,5.00,K0 III/IV,0.973
422,HD 181342,Radial Velocity,1,562.10000000,1.650000,0.100000,,110.62,7.550,5040.00,1.89,5.12,2016-03-17,HD 181342 b,,,921.70700,,2009,http://exoplanet.eu/catalog/hd_181342_b/,http://exoplanets.org/detail/HD_181342_b,2010-05,5.00,K0 III,1.176
423,HD 181433,Radial Velocity,3,9.37430000,0.080000,0.396000,,26.15,8.400,4962.00,0.78,,2014-07-23,HD 181433 b,,,7.50000,,2008,http://exoplanet.eu/catalog/hd_181433_b/,http://exoplanets.org/detail/HD_181433_b,2009-03,5.30,K3 IV,-0.511
424,HD 181433,Radial Velocity,3,962.00000000,1.760000,0.280000,,26.15,8.400,4962.00,0.78,,2014-07-23,HD 181433 c,,,203.00000,,2008,http://exoplanet.eu/catalog/hd_181433_c/,http://exoplanets.org/detail/HD_181433_c,2009-03,5.30,K3 IV,-0.511
425,HD 181433,Radial Velocity,3,2172.00000000,3.000000,0.480000,,26.15,8.400,4962.00,0.78,,2014-07-23,HD 181433 d,,,171.00000,,2008,http://exoplanet.eu/catalog/hd_181433_d/,http://exoplanets.org/detail/HD_181433_d,2009-03,5.30,K3 IV,-0.511
426,HD 181720,Radial Velocity,1,956.00000000,1.780000,0.260000,,55.93,7.849,5781.00,0.92,1.39,2014-07-23,HD 181720 b,,,117.59000,,2009,http://exoplanet.eu/catalog/hd_181720_b/,http://exoplanets.org/detail/HD_181720_b,2010-03,4.10,G1 V,0.288
427,HD 183263,Radial Velocity,2,626.50000000,1.510000,0.356700,,52.83,7.861,5936.00,1.17,,2014-07-23,HD 183263 b,,,1166.39000,,2004,http://exoplanet.eu/catalog/hd_183263_b/,http://exoplanets.org/detail/HD_183263_b,2005-01,4.20,G2 IV,
428,HD 183263,Radial Velocity,2,3070.00000000,4.350000,0.239000,,52.83,7.861,5936.00,1.17,,2014-07-23,HD 183263 c,,,1134.61000,,2008,http://exoplanet.eu/catalog/hd_183263_c/,http://exoplanets.org/detail/HD_183263_c,2009-03,4.20,G2 IV,
429,HD 185269,Radial Velocity,1,6.83800000,0.077000,0.300000,,47.37,,5980.00,1.28,1.88,2014-07-23,HD 185269 b,,,298.75000,,2006,http://exoplanet.eu/catalog/hd_185269_b/,http://exoplanets.org/detail/HD_185269_b,2006-12,4.00,G0 IV,
430,HD 187085,Radial Velocity,1,986.00000000,2.050000,0.470000,,44.98,7.214,6075.00,1.22,,2014-07-23,HD 187085 b,,,238.36000,,2006,http://exoplanet.eu/catalog/hd_187085_b/,http://exoplanets.org/detail/HD_187085_b,2006-06,4.00,G0 V,2.130
431,HD 187123,Radial Velocity,2,3.09658280,0.042600,0.010300,,47.92,7.832,5830.00,1.00,,2014-07-23,HD 187123 b,,,166.21800,,1998,http://exoplanet.eu/catalog/hd_187123_b/,http://exoplanets.org/detail/HD_187123_b,1998-12,4.30,G3 V,0.130
432,HD 187123,Radial Velocity,2,3810.00000000,4.890000,0.252000,,47.92,7.832,5830.00,1.00,,2014-07-23,HD 187123 c,,,632.46000,,2008,http://exoplanet.eu/catalog/hd_187123_c/,http://exoplanets.org/detail/HD_187123_c,2009-03,4.30,G3 V,0.130
433,HD 18742,Radial Velocity,1,772.00000000,1.920000,0.120000,,127.88,7.970,5048.00,1.60,4.90,2014-05-14,HD 18742 b,,,858.10000,,2011,http://exoplanet.eu/catalog/hd_18742_b/,http://exoplanets.org/detail/HD_18742_b,2011-12,4.90,G8/K0 IV,1.143
434,HD 188015,Radial Velocity,1,461.20000000,1.203000,0.137000,,52.63,8.234,5746.00,1.09,,2014-07-23,HD 188015 b,,,476.72000,,2004,http://exoplanet.eu/catalog/hd_188015_b/,http://exoplanets.org/detail/HD_188015_b,2005-01,4.50,G5 IV,
435,HD 189733,Radial Velocity,1,2.21857520,,,,19.25,7.670,4875.00,0.85,0.81,2015-04-24,HD 189733 b,,,,,2005,http://exoplanet.eu/catalog/hd_189733_b/,http://exoplanets.org/detail/HD_189733_b,2005-12,5.20,K2 V,-0.484
436,HD 190360,Radial Velocity,2,2915.00000000,4.010000,0.313000,,15.89,5.730,5590.00,0.96,1.13,2014-08-21,HD 190360 b,,,495.79000,,2003,http://exoplanet.eu/catalog/hd_190360_b/,http://exoplanets.org/detail/HD_190360_b,2003-11,4.60,G6 IV,0.053
437,HD 190360,Radial Velocity,2,17.11100000,0.130400,0.237000,,15.89,5.730,5590.00,0.96,1.13,2014-08-21,HD 190360 c,,,19.06900,,2005,http://exoplanet.eu/catalog/hd_190360_c/,http://exoplanets.org/detail/HD_190360_c,2005-10,4.60,G6 IV,0.053
438,HD 190647,Radial Velocity,1,1038.10000000,2.070000,0.180000,,54.23,7.775,5628.00,1.10,,2014-05-14,HD 190647 b,,,603.85000,,2007,http://exoplanet.eu/catalog/hd_190647_b/,http://exoplanets.org/detail/HD_190647_b,2007-08,4.50,G5 V,0.297
439,HD 190984,Radial Velocity,1,4885.00000000,5.500000,0.570000,,189.39,8.760,5988.00,0.91,1.53,2014-08-21,HD 190984 b,,,985.20000,,2009,http://exoplanet.eu/catalog/hd_190984_b/,,2010-03,3.80,F8 V,0.430
440,HD 191806,Radial Velocity,1,1606.30000000,2.800000,0.259000,,73.47,8.084,6010.00,1.14,,2016-05-19,HD 191806 b,,,2707.91160,,2016,http://exoplanet.eu/catalog/hd_191806_b/,,,5.00,K0,0.348
441,HD 192263,Radial Velocity,1,24.35870000,0.153120,0.008000,,19.89,7.790,4996.00,0.81,0.73,2015-03-26,HD 192263 b,,,232.96000,,1999,http://exoplanet.eu/catalog/hd_192263_b/,http://exoplanets.org/detail/HD_192263_b,2000-04,5.20,K2 V,
442,HD 192310,Radial Velocity,2,74.72000000,0.320000,0.130000,,8.82,5.730,5166.00,0.80,,2015-07-02,HD 192310 b,355,,16.90000,,2011,http://exoplanet.eu/catalog/gl_785_b/,http://exoplanets.org/detail/HD_192310_b,2011-08,5.30,K3 V,-0.415
443,HD 192310,Radial Velocity,2,525.80000000,1.180000,0.320000,,8.82,5.730,5166.00,0.80,,2015-07-02,HD 192310 c,185,,24.00000,,2011,http://exoplanet.eu/catalog/hd_192310_c/,http://exoplanets.org/detail/HD_192310_c,2011-08,5.30,K3 V,-0.415
444,HD 192699,Radial Velocity,1,345.53000000,1.150000,0.129000,,67.39,6.440,5220.00,1.68,3.90,2014-08-21,HD 192699 b,,,762.76000,,2007,http://exoplanet.eu/catalog/hd_192699_b/,http://exoplanets.org/detail/HD_192699_b,2007-08,4.80,G8 IV,1.009
445,HD 195019,Radial Velocity,1,18.20132000,0.138800,0.013800,,37.35,6.870,5788.00,1.07,,2014-07-23,HD 195019 b,,,1172.70000,,1998,http://exoplanet.eu/catalog/hd_195019_b/,http://exoplanets.org/detail/HD_195019_b,1999-01,4.30,G3 V/IV,
446,HD 196050,Radial Velocity,1,1378.00000000,2.540000,0.228000,,46.93,7.500,5892.00,1.15,,2014-08-21,HD 196050 b,,,921.67000,,2002,http://exoplanet.eu/catalog/hd_196050_b/,http://exoplanets.org/detail/HD_196050_b,2002-12,4.40,G4 V,
447,HD 196067,Radial Velocity,1,3638.00000000,5.020000,0.660000,,43.57,6.030,6017.00,1.29,1.73,2014-05-14,HD 196067 b,,,2192.90000,,2012,http://exoplanet.eu/catalog/hd_196067_b/,,2013-03,4.10,G1 V,0.572
448,HD 196885,Radial Velocity,1,1333.00000000,2.370000,0.480000,,32.99,6.398,6254.00,1.28,1.31,2014-08-21,HD 196885 b,,,819.97000,,2007,http://exoplanet.eu/catalog/hd_196885_a_b/,http://exoplanets.org/detail/HD_196885_b,2008-02,3.80,F8 V,0.380
449,HD 197037,Radial Velocity,1,1035.70000000,2.070000,0.220000,,32.83,6.813,,,,2014-05-14,HD 197037 b,,,251.00000,,2012,http://exoplanet.eu/catalog/hd_197037_b/,http://exoplanets.org/detail/HD_197037_b,2012-04,4.00,G0,
450,HD 19994,Radial Velocity,1,466.20000000,1.305000,0.063000,,22.38,5.060,6190.00,1.37,,2014-05-14,HD 19994 b,,,435.41000,,2003,http://exoplanet.eu/catalog/hd_19994_b/,http://exoplanets.org/detail/HD_19994_b,2004-02,4.00,G0 V,
451,HD 200964,Radial Velocity,2,613.80000000,1.601000,0.040000,,68.35,6.487,5164.00,1.44,4.30,2014-05-14,HD 200964 b,,,587.96000,,2010,http://exoplanet.eu/catalog/hd_200964_b/,http://exoplanets.org/detail/HD_200964_b,2011-01,4.80,G8 IV,1.064
452,HD 200964,Radial Velocity,2,825.00000000,1.950000,0.181000,,68.35,6.487,5164.00,1.44,4.30,2014-05-14,HD 200964 c,,,284.44600,,2010,http://exoplanet.eu/catalog/hd_200964_c/,http://exoplanets.org/detail/HD_200964_c,2011-01,4.80,G8 IV,1.064
453,HD 202206,Radial Velocity,2,255.87000000,0.830000,0.435000,,46.34,8.080,5765.00,1.15,,2015-08-27,HD 202206 b,,,5530.00000,,2002,http://exoplanet.eu/catalog/hd_202206_b/,http://exoplanets.org/detail/HD_202206_b,2002-07,4.60,G6 V,
454,HD 202206,Radial Velocity,2,1383.40000000,2.550000,0.267000,,46.34,8.080,5765.00,1.15,,2015-08-27,HD 202206 c,,,776.00000,,2004,http://exoplanet.eu/catalog/hd_202206_c/,http://exoplanets.org/detail/HD_202206_c,2005-09,4.60,G6 V,
455,HD 203030,Imaging,1,,487.100000,,,40.85,8.425,,,,2014-05-14,HD 203030 b,1206,,7656.09700,,2006,,,2006-11,4.80,G8 V,
456,HD 2039,Radial Velocity,1,1120.00000000,2.230000,0.715000,,89.85,9.000,5941.00,1.17,,2014-08-21,HD 2039 b,,,1941.86000,,2002,http://exoplanet.eu/catalog/hd_2039_b/,http://exoplanets.org/detail/HD_2039_b,2003-04,4.25,G2/G3 IV/V,
457,HD 204313,Radial Velocity,2,2024.10000000,3.167000,0.094600,,47.30,7.990,5776.00,1.02,,2015-11-19,HD 204313 b,,,1360.00000,,2010,http://exoplanet.eu/catalog/hd_204313_b/,http://exoplanets.org/detail/HD_204313_b,2010-02,4.50,G5 V,
458,HD 204313,Radial Velocity,2,34.90500000,0.209900,0.155000,,47.30,7.990,5776.00,1.02,,2015-11-19,HD 204313 c,,,17.60000,,2015,http://exoplanet.eu/catalog/hd_204313_c/,,,4.50,G5 V,
459,HD 204941,Radial Velocity,1,1733.00000000,2.560000,0.370000,,26.95,8.450,5056.00,0.74,0.72,2014-05-14,HD 204941 b,,,84.53920,,2011,http://exoplanet.eu/catalog/hd_204941_b/,http://exoplanets.org/detail/HD_204941_b,2011-11,5.15,K1/2 V,-0.509
460,HD 205739,Radial Velocity,1,279.80000000,0.896000,0.270000,,90.33,8.560,6176.00,1.22,1.33,2014-09-25,HD 205739 b,,,435.41000,,2008,http://exoplanet.eu/catalog/hd_205739_b/,http://exoplanets.org/detail/HD_205739_b,2008-11,3.70,F7 V,0.360
461,HD 206610,Radial Velocity,1,610.00000000,1.680000,0.229000,,170.07,8.346,4874.00,1.56,6.10,2014-05-14,HD 206610 b,,,699.19700,,2009,http://exoplanet.eu/catalog/hd_206610_b/,http://exoplanets.org/detail/HD_206610_b,2010-05,5.00,K0 III,1.276
462,HD 20782,Radial Velocity,1,597.06500000,1.397000,0.956000,,35.50,7.400,5798.00,1.02,1.09,2016-05-19,HD 20782 b,,,454.49690,,2006,http://exoplanet.eu/catalog/hd_20782_b/,http://exoplanets.org/detail/HD_20782_b,2006-06,4.30,G3 V,
463,HD 207832,Radial Velocity,2,161.97000000,0.570000,0.130000,,55.31,8.786,5710.00,0.94,0.90,2015-09-10,HD 207832 b,,,177.98480,,2012,http://exoplanet.eu/catalog/hd_207832_b/,http://exoplanets.org/detail/HD_207832_b,2012-09,4.50,G5 V,-0.112
464,HD 207832,Radial Velocity,2,1155.70000000,2.112000,0.270000,,55.31,8.786,5710.00,0.94,0.90,2015-09-10,HD 207832 c,,,232.01590,,2012,http://exoplanet.eu/catalog/hd_207832_c/,http://exoplanets.org/detail/HD_207832_c,2012-09,4.50,G5 V,-0.112
465,HD 20794,Radial Velocity,3,18.31500000,0.120700,0.000000,,6.06,4.270,5401.00,0.70,,2015-08-27,HD 20794 b,660,,2.70000,,2011,http://exoplanet.eu/catalog/hd_20794_b/,http://exoplanets.org/detail/HD_20794_b,2011-10,4.80,G8 V,
466,HD 20794,Radial Velocity,3,40.11400000,0.203600,0.000000,,6.06,4.270,5401.00,0.70,,2015-08-27,HD 20794 c,508,,2.40000,,2011,http://exoplanet.eu/catalog/hd_20794_c/,http://exoplanets.org/detail/HD_20794_c,2011-10,4.80,G8 V,
467,HD 20794,Radial Velocity,3,90.30900000,0.349900,0.000000,,6.06,4.270,5401.00,0.70,,2015-08-27,HD 20794 d,388,,4.80000,,2011,http://exoplanet.eu/catalog/hd_20794_d/,http://exoplanets.org/detail/HD_20794_d,2011-10,4.80,G8 V,
468,HD 208487,Radial Velocity,1,130.08000000,0.524000,0.240000,,44.00,7.471,6067.00,1.13,,2014-11-05,HD 208487 b,,,165.26500,,2004,http://exoplanet.eu/catalog/hd_208487_b/,http://exoplanets.org/detail/HD_208487_b,2005-04,4.20,G2 V,
469,HD 208527,Radial Velocity,1,875.50000000,2.100000,0.080000,,352.11,6.400,4035.00,1.60,51.10,2014-05-14,HD 208527 b,,,3146.40000,,2012,http://exoplanet.eu/catalog/hd_208527_b/,http://exoplanets.org/detail/HD_208527_b,2013-01,6.10,M1 III,
470,HD 20868,Radial Velocity,1,380.85000000,0.947000,0.750000,,48.90,9.920,4795.00,0.78,0.79,2014-11-05,HD 20868 b,,,632.46000,,2008,http://exoplanet.eu/catalog/hd_20868_b/,http://exoplanets.org/detail/HD_20868_b,2009-03,5.35,K3/4 IV,-0.529
471,HD 209458,Radial Velocity,1,3.52474859,,,,47.08,,,1.10,1.12,2014-08-21,HD 209458 b,,,,14.796,1999,http://exoplanet.eu/catalog/hd_209458_b/,http://exoplanets.org/detail/HD_209458_b,2000-01,3.80,F8,
472,HD 210277,Radial Velocity,1,442.19000000,1.138000,0.476000,,21.29,6.530,5555.00,1.01,,2014-11-19,HD 210277 b,,,409.98000,,1998,http://exoplanet.eu/catalog/hd_210277_b/,http://exoplanets.org/detail/HD_210277_b,1999-07,4.90,G8/K0 V,
473,HD 210702,Radial Velocity,1,354.80000000,1.200000,0.094000,,55.93,,4967.00,1.68,5.10,2015-09-03,HD 210702 b,,,603.87700,,2007,http://exoplanet.eu/catalog/hd_210702_b/,http://exoplanets.org/detail/HD_210702_b,2007-08,5.10,K1 III,1.149
474,HD 212301,Radial Velocity,1,2.24571500,0.036000,0.000000,,52.72,7.764,6256.00,1.27,,2014-05-14,HD 212301 b,,,143.01700,,2005,http://exoplanet.eu/catalog/hd_212301_b/,http://exoplanets.org/detail/HD_212301_b,2006-05,3.80,F8 V,0.243
475,HD 212771,Radial Velocity,1,373.30000000,1.220000,0.111000,,121.80,7.595,5121.00,1.15,5.00,2014-05-14,HD 212771 b,,,730.97800,,2009,http://exoplanet.eu/catalog/hd_212771_b/,http://exoplanets.org/detail/HD_212771_b,2010-05,4.80,G8 IV,1.188
476,HD 213240,Radial Velocity,1,951.00000000,2.030000,0.450000,,40.75,6.814,,,,2015-04-30,HD 213240 b,,,1430.23500,,2001,http://exoplanet.eu/catalog/hd_213240_b/,http://exoplanets.org/detail/HD_213240_b,2001-12,4.05,G0/1 V,
477,HD 214823,Radial Velocity,1,1877.00000000,3.180000,0.154000,,97.47,8.068,6215.00,1.22,,2016-05-19,HD 214823 b,,,6102.33600,,2016,http://exoplanet.eu/catalog/hd_214823_b/,,,4.00,G0 V,0.638
478,HD 215497,Radial Velocity,2,3.93404000,0.047000,0.160000,,43.53,8.960,5113.00,0.87,,2014-11-19,HD 215497 b,,,6.60000,,2009,http://exoplanet.eu/catalog/hd_215497_b/,http://exoplanets.org/detail/HD_215497_b,2010-03,5.30,K3 V,-0.410
479,HD 215497,Radial Velocity,2,567.94000000,1.282000,0.490000,,43.53,8.960,5113.00,0.87,,2014-11-19,HD 215497 c,,,104.30000,,2009,http://exoplanet.eu/catalog/hd_215497_c/,http://exoplanets.org/detail/HD_215497_c,2010-03,5.30,K3 V,-0.410
480,HD 216435,Radial Velocity,1,1311.00000000,2.560000,0.070000,,33.29,6.030,5999.00,1.30,,2014-07-23,HD 216435 b,,,400.40000,,2002,http://exoplanet.eu/catalog/hd_216435_b/,http://exoplanets.org/detail/tau_Gru_b,2003-05,4.00,G0 V,
481,HD 216437,Radial Velocity,1,1256.00000000,2.320000,0.290000,,26.52,6.050,,1.15,,2015-04-24,HD 216437 b,,,578.45060,,2002,http://exoplanet.eu/catalog/hd_216437_b/,http://exoplanets.org/detail/HD_216437_b,2002-12,4.25,G2/3 IV,
482,HD 216536,Radial Velocity,1,148.60000000,0.609000,0.380000,,,9.230,4639.00,1.36,12.50,2015-02-05,HD 216536 b,,,467.19000,,2015,http://exoplanet.eu/catalog/hd_216536/,,2015-04,5.00,K0,1.800
483,HD 216770,Radial Velocity,1,118.45000000,0.460000,0.370000,,37.89,8.094,,0.90,,2015-04-24,HD 216770 b,,,206.58950,,2003,http://exoplanet.eu/catalog/hd_216770_b/,http://exoplanets.org/detail/HD_216770_b,2004-02,5.00,K0 V,-0.100
484,HD 217107,Radial Velocity,2,7.12681600,0.074800,0.126700,,19.72,6.160,5646.00,1.02,,2014-05-14,HD 217107 b,,,441.77000,,1998,http://exoplanet.eu/catalog/hd_217107_b/,http://exoplanets.org/detail/HD_217107_b,1999-01,4.80,G8 IV,
485,HD 217107,Radial Velocity,2,4270.00000000,5.320000,0.517000,,19.72,6.160,5646.00,1.02,,2014-05-14,HD 217107 c,,,826.32000,,2005,http://exoplanet.eu/catalog/hd_217107_c/,http://exoplanets.org/detail/HD_217107_c,2005-10,4.80,G8 IV,
486,HD 217786,Radial Velocity,1,1319.00000000,2.380000,0.400000,,54.80,7.800,5966.00,1.02,1.27,2014-05-14,HD 217786 b,,,4131.62000,,2011,http://exoplanet.eu/catalog/hd_217786_b/,http://exoplanets.org/detail/HD_217786_b,2011-03,3.80,F8 V,0.276
487,HD 218566,Radial Velocity,1,225.70000000,0.687300,0.300000,,29.94,8.628,4820.00,0.85,0.86,2014-05-14,HD 218566 b,,,66.74150,,2010,http://exoplanet.eu/catalog/hd_218566_b/,http://exoplanets.org/detail/HD_218566_b,2011-02,5.30,K3 V,-0.452
488,HD 219077,Radial Velocity,1,5501.00000000,6.220000,0.770000,,29.20,6.120,5362.00,1.05,1.91,2014-05-14,HD 219077 b,,,3302.11000,,2012,http://exoplanet.eu/catalog/hd_219077_b/,,2013-03,4.80,G8 V,0.425
489,HD 219134,Radial Velocity,6,3.09310000,0.038474,0.000000,,6.55,5.570,4913.00,0.79,0.77,2015-11-19,HD 219134 b,,,3.81396,,2015,http://exoplanet.eu/catalog/hd_219134_b/,,,5.30,K3 V,-0.509
490,HD 219134,Radial Velocity,6,6.76350000,0.064816,0.000000,,6.55,5.570,4913.00,0.79,0.77,2015-11-19,HD 219134 c,,,3.49613,,2015,http://exoplanet.eu/catalog/hd_219134_c/,,,5.30,K3 V,-0.509
491,HD 219134,Radial Velocity,6,46.71000000,0.235080,0.000000,,6.55,5.570,4913.00,0.79,0.77,2015-11-19,HD 219134 d,,,21.29461,,2015,http://exoplanet.eu/catalog/hd_219134_d/,,,5.30,K3 V,-0.509
